State,District,Year,Quarter,Registered_Users,App_Open_Count
Andhra Pradesh,Guntur,2018,3,518931,0
Andhra Pradesh,Krishna,2018,3,537086,0
Andhra Pradesh,Spsr Nellore,2018,3,322446,0
Andhra Pradesh,Vizianagaram,2018,3,203655,0
Andhra Pradesh,Ysr,2018,3,308391,0
Andhra Pradesh,West Godavari,2018,3,349782,0
Andhra Pradesh,Chittoor,2018,3,515727,0
Andhra Pradesh,East Godavari,2018,4,694455,0
Andhra Pradesh,Srikakulam,2018,4,284874,0
Andhra Pradesh,Visakhapatnam,2018,4,978288,0
Andhra Pradesh,Prakasam,2018,4,394962,0
Andhra Pradesh,Anantapur,2018,4,510892,0
Andhra Pradesh,Kurnool,2018,4,498582,0
Andhra Pradesh,Guntur,2018,4,659552,0
Andhra Pradesh,Krishna,2018,4,682479,0
Andhra Pradesh,Spsr Nellore,2018,4,407495,0
Andhra Pradesh,Vizianagaram,2018,4,257824,0
Andhra Pradesh,Ysr,2018,4,387058,0
Andhra Pradesh,West Godavari,2018,4,435668,0
Andhra Pradesh,Chittoor,2018,4,665280,0
Andhra Pradesh,East Godavari,2019,1,839277,0
Andhra Pradesh,Srikakulam,2019,1,345775,0
Andhra Pradesh,Visakhapatnam,2019,1,1174517,0
Andhra Pradesh,Prakasam,2019,1,474260,0
Andhra Pradesh,Anantapur,2019,1,612162,0
Andhra Pradesh,Kurnool,2019,1,599422,0
Andhra Pradesh,Guntur,2019,1,802394,0
Andhra Pradesh,Krishna,2019,1,833694,0
Andhra Pradesh,Spsr Nellore,2019,1,491908,0
Andhra Pradesh,Vizianagaram,2019,1,313334,0
Andhra Pradesh,Ysr,2019,1,460590,0
Andhra Pradesh,West Godavari,2019,1,523372,0
Andhra Pradesh,Chittoor,2019,1,812314,0
Andhra Pradesh,East Godavari,2019,2,945181,7156762
Andhra Pradesh,Srikakulam,2019,2,392764,3230330
Andhra Pradesh,Visakhapatnam,2019,2,1318740,13681907
Andhra Pradesh,Prakasam,2019,2,539462,4488365
Andhra Pradesh,Anantapur,2019,2,695114,6056591
Andhra Pradesh,Kurnool,2019,2,680118,6240480
Andhra Pradesh,Guntur,2019,2,915256,7268875
Andhra Pradesh,Krishna,2019,2,952300,7822632
Andhra Pradesh,Spsr Nellore,2019,2,558303,4774473
Andhra Pradesh,Vizianagaram,2019,2,355058,3541678
Andhra Pradesh,Ysr,2019,2,519031,4345848
Andhra Pradesh,West Godavari,2019,2,592185,3853094
Andhra Pradesh,Chittoor,2019,2,925491,8914216
Andhra Pradesh,East Godavari,2019,3,1057167,28275322
Andhra Pradesh,Srikakulam,2019,3,437939,11813195
Andhra Pradesh,Visakhapatnam,2019,3,1460464,54836001
Andhra Pradesh,Prakasam,2019,3,598568,16267041
Andhra Pradesh,Anantapur,2019,3,773656,22845084
Andhra Pradesh,Kurnool,2019,3,755024,22827473
Andhra Pradesh,Guntur,2019,3,1026418,28477132
Andhra Pradesh,Krishna,2019,3,1066546,30077671
Andhra Pradesh,Spsr Nellore,2019,3,619592,17768733
Andhra Pradesh,Vizianagaram,2019,3,394375,13065845
Andhra Pradesh,Ysr,2019,3,574109,15833900
Andhra Pradesh,West Godavari,2019,3,662102,14227407
Andhra Pradesh,Chittoor,2019,3,1032733,34638738
Andhra Pradesh,East Godavari,2019,4,1195228,38299189
Andhra Pradesh,Srikakulam,2019,4,496266,16353822
Andhra Pradesh,Visakhapatnam,2019,4,1620235,70749983
Andhra Pradesh,Prakasam,2019,4,673522,21639748
Andhra Pradesh,Anantapur,2019,4,873033,30278539
Andhra Pradesh,Kurnool,2019,4,846885,29676997
Andhra Pradesh,Guntur,2019,4,1158708,37846179
Andhra Pradesh,Krishna,2019,4,1199971,39407473
Andhra Pradesh,Spsr Nellore,2019,4,697154,23608360
Andhra Pradesh,Vizianagaram,2019,4,443810,17515311
Andhra Pradesh,Ysr,2019,4,646642,21543798
Andhra Pradesh,West Godavari,2019,4,750078,19393528
Andhra Pradesh,Chittoor,2019,4,1156351,44888591
Andhra Pradesh,East Godavari,2020,1,1329664,46142746
Andhra Pradesh,Srikakulam,2020,1,552007,20975989
Andhra Pradesh,Visakhapatnam,2020,1,1763581,77558624
Andhra Pradesh,Prakasam,2020,1,748655,26870693
Andhra Pradesh,Anantapur,2020,1,971850,36900103
Andhra Pradesh,Kurnool,2020,1,936293,34198350
Andhra Pradesh,Guntur,2020,1,1289678,45282758
Andhra Pradesh,Krishna,2020,1,1331602,46079408
Andhra Pradesh,Spsr Nellore,2020,1,775440,28879364
Andhra Pradesh,Vizianagaram,2020,1,490683,21562104
Andhra Pradesh,Ysr,2020,1,717865,26166193
Andhra Pradesh,West Godavari,2020,1,843835,24542868
Andhra Pradesh,Chittoor,2020,1,1270907,51354573
Andhra Pradesh,East Godavari,2020,2,1459116,45884498
Andhra Pradesh,Srikakulam,2020,2,608002,23808009
Andhra Pradesh,Visakhapatnam,2020,2,1904719,69684456
Andhra Pradesh,Prakasam,2020,2,830709,32255276
Andhra Pradesh,Anantapur,2020,2,1076953,39704703
Andhra Pradesh,Kurnool,2020,2,1035093,36268390
Andhra Pradesh,Guntur,2020,2,1426271,44267596
Andhra Pradesh,Krishna,2020,2,1459041,41234166
Andhra Pradesh,Spsr Nellore,2020,2,854459,30816403
Andhra Pradesh,Vizianagaram,2020,2,537798,24370380
Andhra Pradesh,Ysr,2020,2,796769,29644037
Andhra Pradesh,West Godavari,2020,2,944829,26583613
Andhra Pradesh,Chittoor,2020,2,1385916,49820171
Andhra Pradesh,East Godavari,2020,3,1601940,64292857
Andhra Pradesh,Srikakulam,2020,3,667858,31794753
Andhra Pradesh,Visakhapatnam,2020,3,2058346,102589371
Andhra Pradesh,Prakasam,2020,3,915240,44970519
Andhra Pradesh,Anantapur,2020,3,1186851,55714787
Andhra Pradesh,Kurnool,2020,3,1132240,49164718
